166,Simple & Seamless Execution,Price Suitability & Intelligence Quality,Price Setting - price recommendations based on Online rate gaps (close rate gap),,,TBC,,New,,,,,,,,Wouter,,,,,Joseph,,XXL,Yes,Athena - Karthik,,,Short-Term Contract Products ,
167,Fix the Foundation,Price Suitability & Intelligence Quality,Price Setting - tier level recommendations ,,,TBC,,New,,,,,,,,Karthik,,,,,Raymond,,L,Yes,Athena - Karthik,,,Short-Term Contract Products ,
168,Structured to Earn,Price Suitability & Intelligence Quality,Allocation increases linking to upsell (e.g. Space Reserve) to extract more value from allocations,,,TBC,,New,,,,,,,,Shruti,,,,,Shruti A,,XXL,Yes,Athena - Karthik,,,Short-Term Contract Products ,
169,Fix the Foundation,Price Suitability & Intelligence Quality,Price-setting capabilities to eliminate QBA requirements ,,,TBC,,New,,,,,,,,Karthik,,,,,Raymond,,L,Yes,Athena - Karthik,,,Short-Term Contract Products ,
170,Fix the Foundation,Price Suitability & Intelligence Quality,Improve Athena quote processing turn-time to near-instant ,,,TBC,,New,,,,,,,,Karthik,,,,,TBI,,XXL,Yes,Athena - Karthik,,,Short-Term Contract Products ,
171,Fix the Foundation,Price Suitability & Intelligence Quality,Proactive error resolution (resolve MEPC/missing rate errors),,,TBC,,New,,,,,,,,Karthik,,,,,TBI,,XXL,Yes,Athena - Karthik,,,Short-Term Contract Products ,
172,Simple & Seamless Execution,Price Suitability & Intelligence Quality,MILOS - data visibility on unused pricing projects/quotelines including conversion visibility ,,,TBC,,New,,,,,,,,Wouter,,,,,TBD,,L,Yes,Athena - Karthik,,,Short-Term Contract Products ,
173,Simple & Seamless Execution,Price Suitability & Intelligence Quality,AI-based customer-request conversion to subscription,,,TBC,,New,,,,,,,,Wouter,,,,,Gabriele,,XXL,Yes,Athena - Karthik,,,Short-Term Contract Products ,
174,Structured to Earn,,Space Reserve Price Setting in Athena,Increase Revenue,Incremental or New Revenue EBIT,$2m,Incremental EBIT to LT ,No,Low,High,Global,Athena,Athena Horizon - Pricing,Athena Contracting ,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Alexander Ibsen-Abela",M,,Huw,,M,Yes,ST Athena - Wouter,,,,
175,Structured to Earn,,CAT/Delta Management for Premium Allocation,Another Ocean theme,Incremental or New Revenue EBIT,$0.5m,Incremental EBIT to Online,No,Low,High,Global,CAT (Customer allocation tool),-,Delta,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Alexander Ibsen-Abela",C,,Deepa,,M,Yes,ST Athena - Wouter,,,,
176,Structured to Earn,,"Space Reserve, Athena Workflow Integration (Move Away from AFLS)",Another Ocean theme,Revenue at Risk-EBIT,$8m,"Athena Adoption 
8m (current SR PnL impact)",Yes,High,High,Global,Athena,Athena Horizon - Booking,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Alexander Ibsen-Abela",M,,Deepa,,L,Yes,ST Athena - Wouter,,,,
177,Structured to Earn,,Allocation: Space Reserve and Instant Space Product flag in GCSS,Another Ocean theme,Revenue at Risk-EBIT,0,"Product Flag Coverage 
Grouped with E15???",Yes,Low,High,Global,Order Handling platform,GCSS,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Alexander Ibsen-Abela",M,,Ditte Haze,,M,Yes ,ST Athena - Wouter,,,,
178,Structured to Earn,,MILOS ‚ Unused Pricing Projects/Quote Line Visibility (grouped with Athena Perf. management),Another Ocean theme,Incremental or New Revenue EBIT,$0.5m,Unused Pricing Projects Removed; Quote Conversion improved,No,Low,High,Global,Athena,Line Of Sight,"Athena, once price setting is in Athena",Fabio Vilas,Wouter,Fabian Bauerdick,"FPO: Trang Pham 
BPO:Nic Thitiwichaya Jantadai",S,,Mehul,,S,Yes,ST Athena - Wouter,,,,
179,Simple & Seamless Execution,,ORA Bidline Automation: AI-driven automation for bidline and subscription creation to reduce manual quoting effort and accelerate turnaround,Quote Turnaround time - ORA Instant,FTE Efficiency,"$25,000",Quote TAT,No,Low,High,Global,Athena,CoPo,RFQT,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Gabriele Balke",M,,Abhinav,,L,Yes,ST Athena - Wouter,,,,
180,Simple & Seamless Execution,,"Automated Quote Triggers: Expand automated quoting beyond 2026 scope to cover broader scenarios and increase auto-quote share (e.g., >60% auto-quoted)",Quote Turnaround time - ORA Instant,FTE Efficiency,"$20,000 ",Quote TAT,No,Low,High,Global,Athena,CoPo,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Gabriele Balke",M,,Ashish / Mehul,,M,Yes,ST Athena - Wouter,,,,
181,Structured to Earn,,Athena Quote Processing Near-Instant Turn-Time (performance tuning),Quote Turnaround time - ORA Instant,Revenue at Risk-EBIT,"$200,000",Quote TAT,Yes,High,High,Global,Athena,,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Gabriele Balke",S,,Deepa & Huw,,M,Yes,ST Athena - Wouter,,,,
182,Simple & Seamless Execution,,Automated PST Workflow for Subscription Activation: Streamline post-sales subscription activation workflow to reduce manual handoffs and accelerate time-to-live,Improved Productivity,FTE Efficiency,"$16,500",Process Efficiency %,No,Low,High,Global,Athena,Subscription Management,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Gabriele Balke",S,,"Vishaka, Abhinav, Ashish",,M,Yes,ST Athena - Wouter,,,,
183,Simple & Seamless Execution,,Automated Subscription Approvals: Enable automated approval for a defined share of subscriptions to remove manual bottlenecks,Improved Productivity,FTE Efficiency,"$16,500",Process Efficiency %,No,Low,High,Global,Athena,Subscription Management,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Gabriele Balke",S,,Ashish,,S,Yes,ST Athena - Wouter,,,,
184,Simple & Seamless Execution,,Seamless quote journey handoff: Ability to easily handover opportunities & quotes between instant/fast track/full service journeys,Quote Turnaround time - ORA Instant,FTE Efficiency,"$38,000 ",Quote TAT,No,Low,High,Global,Athena,CoPo,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Joseph Chrisman",S,,Abhinav,,XL,Yes,ST Athena - Wouter,,,,
185,Simple & Seamless Execution,,"Proactive MEPC Error & Rate error resolution: Automatically detect and resolve MEPC and missing rate errors via alternative locations, service types, dynamic routes, and reasons for pricing errors",Quote Turnaround time - ORA Instant,FTE Efficiency,"$100,000",Quote TAT,No,Low,High,Global,Athena,CoPo,"IRE, MEPC",IRE dynamic & alternative routes,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Joseph Chrisman",M,,Abhinav / IRE,,M,Yes,ST Athena - Wouter,,,,
186,Structured to Earn,,Automated Subscription Approvals: Ability to control quotation eligibility (e.g.  trackable record vs. new/unregistered customers),Another Ocean theme,"Revenue Leakage Prevention,",0,grouped to E26 ???,No,Low,High,Global,Athena,Subscription Management,Service Offering,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",S,,"Vishaka, Abhinav, Ashish",,M,Yes,ST Athena - Wouter,,,,
187,Simple & Seamless Execution,,Performance Management Enhancements: Automatically halt auto-renewal and warn for removal when subscription does not meet volume threshold,Another Ocean theme,FTE Reduction,"$236,000",Quote waste,No,High,High,Global,Athena,Subscription Management,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",S,,"Vishaka, Abhinav, Ashish",,M,Yes,ST Athena - Wouter,,,,
188,Simple & Seamless Execution,,Performance Management Enhancements: Enhance performance tracking with required granularity (trade/commodity level) and bidline conversion analysis,Another Ocean theme,FTE Reduction,0,"Quote waste
grouped with E26",No,Low,Low,Global,Athena,Subscription Management,GCSS,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",S,,"Vishaka, Abhinav, Ashish",,M,Yes,ST Athena - Wouter,,,,
189,Simple & Seamless Execution,,Performance Management Enhancements: Extend performance visibility to quote line level to support quote line reduction decisions + ability to implement recommendations,Another Ocean theme,FTE Reduction,0,"Quote waste
grouped with E26",Yes,Low,Low,Global,Athena,Subscription Management,GCSS,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",S,,"Vishaka, Abhinav, Ashish",,M,Yes,ST Athena - Wouter,,,,
190,Simple & Seamless Execution,,Contract Rate Visibility API: Provide API for customers to view rate offers and contracted rates before/after contracting to reduce quote requests & number of bid lines,Quote Turnaround time - ORA Instant,FTE Efficiency,"$60,000",Quote line utilisation %,No,High,High,Global,Athena,Athena Horizon - Pricing,Maersk.com,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Joseph Chrisman",C,,Priyanka Shroff,,,,ST Athena - Wouter,,,,
191,Structured to Earn,,Price Recommendations / Determination: Recommend price adjustments to close gaps between contracted and online (Spot) rates,CY per FFE spread ST v Spot,Incremental or New Revenue EBIT,$2m,Incremental EBIT to Online,No,High,High,Global,Athena,Subscription Management,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",M,,Mehul,,,,ST Athena - Wouter,,,,
192,Structured to Earn,,Allocation Monetization as Add-On: Segment subscriptions by allocation presence to target upsell opportunities,CY per FFE spread ST v Spot,Incremental or New Revenue EBIT,0,"Incremental EBIT to Online
grouped with E30",No,Low,Low,Global,OIPO,Subscription Management,CAT,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",S,,Abhinav,,,,ST Athena - Wouter,,,,
193,Structured to Earn,,Athena to GCSS Linkage for CF/Volume Visibility: Integrate Athena with GCSS to display cash flow and volume delivery in-platform,CY per FFE spread ST v Spot,Incremental or New Revenue EBIT,0,"Incremental EBIT to Online
grouped with E30",No,Low,Low,Global,Order Handling platform,GCSS,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",S,,Purnendu,,,,ST Athena - Wouter,,,,
194,Structured to Earn,,Price Recommendations / Determination: System recommendations for which tier to assign to customers based on data,CY per FFE spread ST v Spot,Incremental or New Revenue EBIT,0,"Incremental EBIT to Online
grouped with E30",No,High,High,Global,Athena,Subscription Management,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",S,,Mehul,,,,ST Athena - Wouter,,,,
195,Structured to Earn,,Price Recommendations / Determination: Automated pricing rules and flexible tier-based pricing to reduce manual rate management,CY per FFE spread ST v Spot,Incremental or New Revenue EBIT,0,"Process Efficiency %
Grouped with E30",No,High,High,Global,Athena,Subscription Management,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",S,,Mehul,,,,ST Athena - Wouter,,,,
196,Structured to Earn,,Allocation Monetization as Add-On: Introduce allocation as a paid add-on in the subscription journey with defined pricing model,CY per FFE spread ST v Spot,Incremental or New Revenue EBIT,0,"Incremental EBIT to Online
grouped with E30",Yes,High,High,Global,Athena,Subscription Management,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",S,,Abhinav,,,,ST Athena - Wouter,,,,
197,Structured to Earn,,Allocation as Upsell (Sales & Self-Service): Enable allocation upsell via sales channel and self-service online journey to extract more value,CY per FFE spread ST v Spot,Incremental or New Revenue EBIT,0,"Incremental EBIT to Online
grouped with E30",No,High,High,Global,Athena,Subscription Management,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Nic Thitiwichaya Jantadai",S,,Martyna,,,,ST Athena - Wouter,,,,
198,Simple & Seamless Execution,,Online self-service Ocean+ quote request for ORA/Instant offer: Customer self-service ORA subscription request on Maersk.com,Ocean Digitization,FTE Efficiency,"$685,000","Adoption %, self-service quotes %",No,High,High,Global,Athena,Athena Horizon - Pricing,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Joseph Chrisman",M,,Gurdave,,,,ST Athena - Wouter,,,,
199,Simple & Seamless Execution,,"Online ORA quote output and acceptance: Enable customer to view, amend, accept an instant quote online",Ocean Digitization,FTE Efficiency,0,"Adoption %, self-service quotes %
grouped with E35",No,High,High,Global,Athena,Alex,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Joseph Chrisman",M,,Gurdave,,,,ST Athena - Wouter,,,,
200,Simple & Seamless Execution,,"Online Contract Visibility & Management: Enable customer to view, renew, book, amend, and make additional lane requests online",Ocean Digitization,FTE Efficiency,"$365,000","Disputes %, # of customer cases",No,High,High,Global,Maersk.com,Alex,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Joseph Chrisman",M,,Ashish / Ema,,,,ST Athena - Wouter,,,,
201,Structured to Earn,,Offer Spot/Go reference rates when ORA rates are unavailable: Enable fallback SPOT offers/price when ORA is not available for a specific tradelane in online quote journey,Ocean Digitization,Incremental or New Revenue EBIT,$1m,Quote to book conversion %,No,Low,Low,Global,Penny,SSIB,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Joseph Chrisman",C,,Henrik Hansen,,,,ST Athena - Wouter,,,,
202,Simple & Seamless Execution,,Online visibility of customer contract rates & offers: Allow customers to browse on Maersk.com monthly/quarterly contract rates before triggering a formal quote,Ocean Digitization,FTE Efficiency,0,"Quote line utilisation %
grouped with E29",No,Low,Low,Global,Maersk.com,Alex,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Joseph Chrisman",C,,Huw & Deepa,,,,ST Athena - Wouter,,,,
203,Fix the Foundation,,Athena Subscription Journey Stabilization & Tech Debt: Stabilize and enhance subscription journey in Athena and reduce reliance on L1 hypercare on user queries regarding system performance; resolve tech debt from current build-out,Improved Productivity,IT Cost Savings,"$50,000",,Yes,Low,Low,Global,Athena,Subscription Management,,,Wouter,Fabian Bauerdick,"FPO: Avdhut Gawde, Sagar Parmar 
BPO: Gabriele Balke",M,,Abhinav,,,,ST Athena - Wouter,,,,
204,Compelling Products,," AI agent using Apex capability for experimentation. Increase conversion with customer Funnel data visibility from maersk.com and SSIB, using this to run targeted experiments that increase conversion. Funnel data such as:

How many new customers search per month
How many customers do we churn
How many returning customers do we have
How many new customers book in the first time
How many searches does it take before 1st booking
How many customers booking the first attempt (i.e. get a bookable offer that convert searches to booking)

How far do they get in the journey?
When do they drop out of the journey?
Why do they drop out of the journey?
What are the most popular filters they use?
What are the heat map on each page? What are they viewing the most?
What is the time spent per page?",Loaded Volume,Incremental or New Revenue EBIT,1 FTE,Loaded FFE,No,High,Low,Global,Maersk.com,,SSIB,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Dimitar Dzhongov,,S,Yes,Athena - Uday,,,,
205,Structured to Earn,,"Asset Based Pricing - Price Validation Service - Granularity to set PVS at pricing group or service/vessel/voyage level, eventually consuming Min CY at vsl/voy level and setting hurdlke rates.",Increase Revenue,Incremental or New Revenue EBIT,$1m,Incremental CY,Yes,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,s,Yes,Athena - Uday,,,,
206,Structured to Earn,,Asset Based Pricing: Vessel Voyage Pricing capability. Linking uptake systems from Delta into Penny for accurate and real time RFC and minimum CY conditions to influence pricing at service/vessel/voyage level instead of Trade-->Corridor level.,Increase Revenue,Revenue Enabler – EBIT,$3m,Incremental CY,Yes,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,XL,Yes,Athena - Uday,,,,
207,Simple & Seamless Execution,,"Delta enhancements: Multiple use cases
Move count management 
Automation of compartment allocation, 
Whitelist settings at voyage level and retention of default bucket/delta settings, 
Automated traffic light system
Edits from main screen
Freesale Demand Forecast
Uptake curves in Delta",Improved Productivity,FTE Efficiency,TBC,"FTE reduction
$0.5m  
We need a number of FTE reductions",Yes,Low,High,Global,Delta,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Gokul,,L,Yes,Athena - Uday,,,,
208,Compelling Products,,Differentiated pricing: Dynamic discounting based on the ETD week and vessel situation.,Loaded Volume,Revenue Enabler – EBIT,$1m,Incremental CY,Yes,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,M,Yes,Athena - Uday,,,,
209,Compelling Products,,Differentiated pricing: Improved offer availability based on customer behavior.,Loaded Volume,Revenue Enabler – EBIT,$0.5m,Loaded FFE,Yes,High,High,Global,OIPO,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Haze Lan Yao,,M,Yes,Athena - Uday,,,,
210,Simple & Seamless Execution,,Differentiated pricing: Rules (volume and behavior) based automation of customer promotion and demotion.,Improved Productivity,FTE Efficiency,$0.5m,"FTE efficiency
$0.5m  
We need a number of FTE reductions",Yes,High,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,L,Yes,Athena - Uday,,,,
211,Structured to Earn,,"Early Warning System in pricing and uptake management, with hard coded Penny/Delta actions.",Increase Revenue,Incremental or New Revenue EBIT,$3m,Incremental CY,No,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,M,Yes,Athena - Uday,,,,
212,Structured to Earn,,"Heavy Weight pricing in Spot/Go, with weight dependent surcharge feature.",Increase Revenue,Incremental or New Revenue EBIT,$1m,Incremental CY,,High,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,,Yes,Athena - Uday,,,,
213,Compelling Products,,Inland pricing on Spot (multiple requirements.): Inland end-to-end pricing visibility and an inland pricing enhancement enabling Penny to link to differentiated ST Inland rates in Athena through rate-based pricing.,Loaded Volume,Incremental or New Revenue EBIT,$3m,Loaded FFE,No,High,Low,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,XL,Yes,Athena - Uday,,,,
214,Compelling Products,,Load priority: Loading priority change to P9 for Contract over allocation.,Commercial Accelerator,Revenue Enabler – EBIT,0.5m,Loaded FFE,No,High,Low,Global,Another,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,TBI,,XL,No (completed 2026),Athena - Uday,,,,
215,Simple & Seamless Execution,,Long tail price automation in Penny.,Productivity,Incremental or New Revenue EBIT,$1m,Incremental CY,Yes,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,L,Yes,Athena - Uday,,,,
216,Compelling Products,,"Online product expansion: Covering OFAC, DG, IG SPC.",Loaded Volume,Incremental or New Revenue EBIT,$2m,Loaded FFE,No,High,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,L,Yes,Athena - Uday,,,,
217,Compelling Products,,Online product expansion: Live Reefers on Spot,Loaded Volume,Incremental or New Revenue EBIT,$3m,Loaded FFE,No,High,Low,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,XL,Yes,Athena - Uday,,,,
218,Simple & Seamless Execution,,"Penny Data Product (multiple requirements): We need to put Penny data into a datalake for wider consumption, especially every new feature should have data enablement to track success.
Use cases:
SPOT rate data product to close rate gaps, improve accessibility to forward-looking SPOT BAS and threshold pricing data, and reduce manual effort for pricing of SPOT-linked ST offline products",Improved Productivity,FTE Efficiency,TBC,"FTE reduction
$0.5m  
We need a number of FTE reductions",No,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,XL,Yes,Athena - Uday,,,,
219,Structured to Earn,,Penny: Business rule enhancement for further granularity on 40 container groups and NORs.,Increase Revenue,Revenue Enabler – EBIT,$0.5m,Incremental CY,No,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,M,No,Athena - Uday,,,,
220,Structured to Earn,,"Penny: Threshold pricing improvements such as 20/40 differentiation, climb down on downfall.",Increase Revenue,Revenue Enabler – EBIT,$1m,Incremental CY,No,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,XL,Yes,Athena - Uday,,,,
221,Simple & Seamless Execution,,"Penny: User functionality enhancements
Adding CY/FFE visibility next to the “New Price” tab in the Adaptive Pricing window 
Introducing a Penny OD grouping configuration module.
Ability to download multiple trades and weeks in one go from ABP.",Improved Productivity,FTE Efficiency,TBC,"FTE reduction
$0.5m  
We need a number of FTE reductions",No,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,M,No,Athena - Uday,,,,
222,Structured to Earn,,"Platform and pricing coherence across all ST products: Ability to price across products (Online, ST, ORA, Offer Light) combined with visibility into ST product and SPOT price comparisons, rate updates in Penny/Athena.",Improved Productivity,Revenue Enabler – EBIT,$2m,Incremental CY,No,Low,High,Global,Penny,,Athena,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,XXL,Yes,Athena - Uday,,,,
223,Structured to Earn,,Price optimization for integrated routing.,Increase Revenue,Incremental or New Revenue EBIT,$1m,Incremental CY,No,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,XL,Yes,Athena - Uday,,,,
224,Fix the Foundation,,"Products flags to differentiate ORA, BSA index, Above allocation.",Commercial Accelerator,Revenue Enabler – EBIT,$2.5m,Incremental CY,No,Low,High,Global,OIPO,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Haze Lan Yao,,,No - Particially Completed this year,Athena - Uday,,,,
225,Simple & Seamless Execution,,"Real time offer availabity visibility enhancements with new data fields and scale to all trades. An agentic solution for frontline (CX, sales, CPM, UTM, PM) to get quick view on missing offer reasons.",Productivity,FTE Efficiency,TBC,"FTE reduction
$0.5m  
We need a number of FTE reductions",,Low,High,Global,OIPO,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Haze Lan Yao,,,Yes,Athena - Uday,,,,
226,Compelling Products,,"Spot Booking Journey enhancements: 
Scarcity notifications in the booking journey.",Loaded Volume,Incremental or New Revenue EBIT,$1m,Loaded FFE,,High,Low,Global,Order Handling platform,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Ditte Jensen,,,Yes,Athena - Uday,,,,
227,Structured to Earn,,Spot bot prevention via faster pricing action and slowing booking intake.,Increase Revenue,Revenue Enabler – EBIT,$2m,Incremental CY,Yes,High,Low,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,L,Yes,Athena - Uday,,,,
228,Structured to Earn,,Spot Governance: Configurable maximum amendment capability by either number of days from ETD or number of amendments per shipment.,Increase Revenue,Revenue at Risk-EBIT,$1m,Incremental CY,No,High,Low,Global,Penny,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,L,Yes,Athena - Uday,,,,
229,Structured to Earn,,Spot IQ improvements: Covering a wide range of system limitations that lead to manual pricing or disputes.,Invoice Quality - Ocean+ & DnD,Revenue at Risk-EBIT,$0.5m,"IQ improvement: 0,05%",,High,Low,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,,No,Athena - Uday,,,,
230,Structured to Earn,,"Allocation control via traffic light system, utilizing missing offer and bottleneck data to limit and curtail allocations on bottleneck corridors. Will require a link to CAT for OD group level allocation filing.",Modelship Top 11 PiP - Online ST LT,Incremental or New Revenue EBIT,$1m,Incremental CY,Yes,High,High,Global,Delta,,"OIPO, CAT",,Barbara,Francisco Martin Robles,Uday Pandeya,,,Gokul,,L,Yes,Athena - Uday,,,,
231,,,Spot VP: Capability to offer promotional codes at vsl/voy level.,Loaded Volume,Incremental or New Revenue EBIT,$1m,Loaded FFE,,High,Low,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,,No,Athena - Uday,,,,
232,Compelling Products,,"Spot/Go Booking Journey enhancements improving speed, availability and conversion.",Loaded Volume,Incremental or New Revenue EBIT,$1m,Loaded FFE,,High,Low,Global,Order Handling platform,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Ditte Jensen,,,No,Athena - Uday,,,,
233,Simple & Seamless Execution,,"Uptake Management: Agentic AI solution for value and non-value adding activities in uptake management. Tasks under review - bucket and nest setting, booking rejection reasons, capacity and CAF overrides, objective function based recommendations, dynamic ISC flex, compartment changes.",Improved Productivity,FTE Efficiency,TBC,"FTE reduction
$0.5m  
We need a number of FTE reductions",No,Low,High,Global,Delta,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Gokul,,L,Yes,Athena - Uday,,,,
234,Structured to Earn,,Uptake Management: Feeder and destination optimization.,Increase Revenue,Revenue Enabler – EBIT,$5m,Incremental CY,No,Low,High,Global,Delta,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Gokul,,XL,Yes,Athena - Uday,,,,
235,Simple & Seamless Execution,,Uptake Management: Improved CAF and materialization forecasts to reduce manual overrides.,Improved Productivity,FTE Efficiency,$0.5m,FTE reduction,No,Low,High,Global,Delta,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Gokul,,XXL,Yes,Athena - Uday,,,,
236,Structured to Earn,,"Uptake Management: Improving capacity control in Delta by introducing separate visibility and allocation for relay flows sharing the same deep-sea route direction, which are currently managed as a pooled capacity.",Increase Revenue,Incremental or New Revenue EBIT,$1m,Incremental CY,No,Low,High,Global,Delta,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Gokul,,M,Yes,Athena - Uday,,,,
237,Structured to Earn,,Uptake Management: Minimum CY across global network and data product that allows measurement of user action versus the theoretical minimum.,Increase Revenue,Revenue Enabler – EBIT,$1m,Incremental CY,Yes,Low,High,Global,Delta,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Gokul,,XL,Yes,Athena - Uday,,,,
238,Structured to Earn,,VAS attachment on Spot: Price Insurance product as VAS to generate incremental revenue per booking.,Increase Revenue,Incremental or New Revenue EBIT,$0.2m,Loaded FFE,,High,Low,APA only,Order Handling platform,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Ditte Jensen,,,Yes,Athena - Uday,,,,
239,Structured to Earn,,Uptake Management: YVD compliance tracking and prevention of current manual exceptions. provide feature upfront UTM validation to avoid back and forth booking updates.,Increase Revenue,Revenue at Risk-EBIT,$1m,Incremental CY,No,Low,High,Global,Delta,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Gokul,,M,Yes,Athena - Uday,,,,
240,Simple & Seamless Execution,,Differentiated Pricing: Automation about recommendations of discounts and numbers of tiers,Improved Productivity,FTE Efficiency,TBC,"FTE reduction
$0.5m  
We need a number of FTE reductions",Yes,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,L,Yes,Athena - Uday,,,,
241,Simple & Seamless Execution,,"Penny Chat Bot: Conversational AI interface within Penny to query insights, pricing data, and system recommendations, enabling real-time, natural language interaction for decision support.",Improved Productivity,FTE Efficiency,TBC,"FTE reduction
$0.2m  
We need a number of FTE reductions",No,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,L,No,Athena - Uday,,,,
